"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B00UIHIKF2","B00UIHIKF2","SIMPLEX 4098-9792 SSD SMOKE SENSOR BASE","2O-DXMN-7XR4","456","1.56%","751","1.79%","25%","128","107","28.07%","23.46%","$4,513.31","$3,709.19","29","21"
"B019BRQPKG","B019BRQPKG","Simplex 4098-9601 Photo Detector W/Led","F2-L4PQ-UQFZ","183","0.62%","262","0.63%","85%","172","114","93.99%","62.30%","$8,196.14","$5,378.34","41","21"
"B00BU5XCTU","B00BU5XCTU","Simplex 4098-9733 Temperature Rating 135°F (57°C), Heat Detector","S4098-9733","475","1.62%","669","1.60%","82%","116","62","24.42%","13.05%","$3,099.71","$1,628.40","38","20"
"B001UKZ31U","B001UKZ31U","Edwards Signaling 1504-AQN5 Electromagnetic Door Holder Flush Wall Mount","E1504-AQN5","510","1.74%","761","1.82%","6%","32","30","6.27%","5.88%","$1,614.50","$1,474.98","13","12"
"B0084PIOII","B0084PIOII","Notifier Nbg-12Lx Fire Alarm Addressable Pull Station Key Lock","NNBG-12LX","389","1.33%","632","1.51%","24%","33","25","8.48%","6.43%","$2,342.66","$1,691.55","15","11"
"B01G7KKS80","B01G7KKS80","SIMPLEX 4099-9004 Pull Down Station - Single Action","4099-9004","195","0.67%","273","0.65%","97%","45","27","23.08%","13.85%","$2,893.54","$1,718.31","21","11"
"B00LMK3NMY","B00LMK3NMY","Notifier FST-851 Intelligent Addressable Plug-In Thermal Heat Detector Sensor","3G-Y2FZ-KTBP","208","0.71%","306","0.73%","75%","57","26","27.40%","12.50%","$2,487.43","$1,135.92","19","9"
"B0015Q810Y","B0015Q810Y","Edwards-Signaling 1508AQN5 GE Security 1508-AQN5 Door Holder, Surface, Wall Mount - 24-120V","E1508AQN5","427","1.46%","635","1.52%","5%","44","38","10.30%","8.90%","$2,367.19","$1,988.75","10","8"
"B0161FR9YW","B0161FR9YW","NOTIFIER FMM-101 MONITOR MODULE *ORIGINAL PACKAGE*","NFMM-101","166","0.57%","224","0.53%","49%","103","58","62.05%","34.94%","$4,094.00","$2,284.22","20","8"
"B01ENQ2KRM","B01ENQ2KRM","Simplex 4098-9756 Air Duct 4 Wire Sensor Housing Smoke Detector Fire Alarm","S40989756","108","0.37%","129","0.31%","81%","33","17","30.56%","15.74%","$6,713.79","$3,408.11","17","8"
"B06XHD6C4J","B06XHD6C4J","Edwards SIGA-PD Intelligent Photoelectric Sensor Head Detector Fire Accessory","ESIGAPD","223","0.76%","333","0.79%","67%","99","57","44.39%","25.56%","$4,562.75","$2,575.05","19","8"
"B00GPO2XIC","B00GPO2XIC","Edwards Signaling 1500-7 Door Holder Extension Rods Adjustable Extension","E15007","140","0.48%","212","0.51%","76%","23","9","16.43%","6.43%","$1,103.70","$432.56","13","7"
"B00RW75DYC","B00RW75DYC","EST Edwards SIGA-SB Signature Series Standard Sensor/Detector Base","ESIGA-SB","90","0.31%","132","0.31%","64%","31","20","34.44%","22.22%","$513.28","$332.11","13","7"
"B019MC0KYM","B019MC0KYM","SIMPLEX 4098-9757 Addressable Smoke Detector","S4098-9757","115","0.39%","153","0.37%","59%","33","16","28.70%","13.91%","$1,498.33","$717.88","14","7"
"B071CDXTJH","B001UKRJHQ","Edwards Signaling 270-SPO 30V AC - 60V DC Pull Station SPNO Screw Terminal","E270SPO","778","2.66%","1,167","2.78%","85%","131","12","16.84%","1.54%","$2,182.55","$202.95","67","6"
"B002MAA7XQ","B002MAA7XQ","SYSTEM SENSOR CO1224T 12/24 volt, 4-wire, system-monitored C02 carbon monoxide detector w/ RealTest Technology","SCO1224T","466","1.59%","664","1.58%","49%","99","21","21.24%","4.51%","$6,188.39","$1,262.09","44","6"
"B002RLXWBE","B002RLXWBE","Safety Technology International, Inc. STI-1230 Stopper II without Horn with Clear Spacer, Protective Polycarbonate Cover","ESTI1230","618","2.11%","954","2.28%","31%","100","46","16.18%","7.44%","$5,742.04","$2,559.93","23","6"
"B007OOPZ3C","B007OOPZ3C","Simplex Consecutive Ribbon 610-297 (Purple)","S610297","28","0.10%","48","0.11%","88%","28","17","100.00%","60.71%","$502.71","$303.06","13","5"
"B00V547IUK","B007U7YMTG","DSC PTK5507 PowerSeries TouchScreen Security Interface, 7 Inch display","DPTK5507W","1,441","4.92%","2,082","4.97%","78%","39","6","2.71%","0.42%","$8,698.77","$1,210.31","29","5"
"B013F4N90U","B013F4N90U","Simplex 4090-9051 Supervised IAM","IM-HQ6P-GNH8","39","0.13%","50","0.12%","76%","20","7","51.28%","17.95%","$909.97","$312.55","10","5"
"B015X1JDQW","B015X1JDQW","EDWARDS SYSTEMS TECHNOLOGY SIGA-CT2 SINGLE MODULE SIGNATURE SERIES *NEW IN BOX*","ESIGA-CT2","81","0.28%","122","0.29%","80%","14","10","17.28%","12.35%","$952.22","$681.28","9","5"
"B019MBYIZK","B019MBYIZK","SIMPLEX 4903-9425 A/V 15 CD RED, STD Non-Addressable","S4903-9425","216","0.74%","302","0.72%","95%","21","13","9.72%","6.02%","$1,875.42","$1,156.40","11","5"
"B01BL4PR7O","B01BL4PR7O","SIMPLEX 4906-9127 - A/V M/C Non-Addresable Wall MT (RED)","S4906-9127","132","0.45%","204","0.49%","77%","144","134","109.09%","101.52%","$10,968.84","$10,217.57","12","5"
"B01EZ8VBQ4","B01EZ8VBQ4","SIMPLEX 4098-9794 SSD, Sounder Base","S4098-9794","88","0.30%","121","0.29%","69%","57","21","64.77%","23.86%","$3,544.29","$1,258.95","14","5"
"B07L9L1QJV","B07L9L1QJV","Simplex 252-019 Pull Station Key For""B"" Lock","S252019","167","0.57%","235","0.56%","93%","32","9","19.16%","5.39%","$366.34","$100.20","17","5"
"B000K2A0T4","B000K2A0T4","Edwards 270-GRL- Glass Replacement Rods (20 Rods per package)","E270GLR","74","0.25%","112","0.27%","98%","18","4","24.32%","5.41%","$295.91","$63.80","18","4"
"B003V1DI68","B003V1DI68","Edwards Signaling 6537","E6537","48","0.16%","59","0.14%","98%","17","8","35.42%","16.67%","$782.79","$362.16","8","4"
"B003XACL9C","B003XACL9C","Tyco IT-100 Serial Integration Module for Dsc Power Series Control Panels","DIT100","95","0.32%","132","0.31%","64%","15","5","15.79%","5.26%","$804.52","$267.59","12","4"
"B004HN1RYY","B004HN1RYY","Edwards 276-GLR- Glass Replacement Rods (20 Rods per package)","E276GLR","54","0.18%","69","0.16%","75%","5","5","9.26%","9.26%","$89.17","$89.17","4","4"
"B019MBY7IS","B019MBY7IS","SIMPLEX 4098 Smoke - Heat Detector / Thermostat Base 4098-9788 SSD 2-Wire Base with connections for Remote Alarm LED Indicator Fire Alarm Equipment","S4098-9788","68","0.23%","87","0.21%","0%","36","20","52.94%","29.41%","$603.27","$331.10","12","4"
"B019MBYI5A","B019MBYI5A","SIMPLEX 4903-9252 A/V Horn-Strobe, Red, Wall Mount","S4903-9252","139","0.47%","193","0.46%","80%","26","6","18.71%","4.32%","$3,292.82","$757.81","8","4"
"B01F4EWDNS","B01F4EWDNS","SIMPLEX 4906-9131 -A/V M-C Red STROBE Signal Weather Proof","S4906-9131","80","0.27%","124","0.30%","61%","13","6","16.25%","7.50%","$1,170.24","$539.34","6","4"
"B01IWR1T7K","B01IWR1T7K","DSC PC1832, 8-32 Zone Control Board V 4.7","DPC1832","437","1.49%","702","1.67%","92%","31","4","7.09%","0.92%","$1,390.86","$178.19","31","4"
"B01NA92LCC","B01NA92LCC","Notifier FST-851H - Heat Detector 190F Fixed Temperature","NFST851H","81","0.28%","114","0.27%","84%","38","29","46.91%","35.80%","$2,026.34","$1,563.71","8","4"
"B071ZZTBZN","B071ZZTBZN","Edwards 711U Smoke Detector 2-Wire 12/24 VDC","E711U","57","0.19%","75","0.18%","61%","5","5","8.77%","8.77%","$187.50","$187.50","4","4"
"B005XDA3WE","B005XDA3WE","Simplex - 6334-9140  4.0"" Red LED Clock, 120 Vac","1A-XTZC-LF33","49","0.17%","89","0.21%","54%","5","4","10.20%","8.16%","$1,290.68","$986.00","4","3"
"B005XDA4TQ","B005XDA4TQ","SIMPLEX 4098-9754 Analog Photo/Heat Sensor","S4098-9754","45","0.15%","72","0.17%","67%","11","5","24.44%","11.11%","$538.73","$243.55","5","3"
"B00D3RGLGE","B00D3RGLGE","NEW SIMPLEX 4090-9001 FIRE ALARM REV E MONITOR MODULE SAFETY SECURITY B443173","3K-DWXJ-4F0L","153","0.52%","226","0.54%","58%","41","14","26.80%","9.15%","$1,388.59","$464.10","15","3"
"B013GWUO36","B013GWUO36","Simplex 4090-9002 IDNet Relay IAM","S4090-9002","65","0.22%","101","0.24%","78%","15","7","23.08%","10.77%","$566.84","$264.09","8","3"
"B0161FFZCK","B0161FFZCK","NOTIFIER FMM-1 MONITOR MODULE *ORIGINAL PACKAGE*","NFMM-1","187","0.64%","266","0.63%","11%","11","11","5.88%","5.88%","$556.95","$556.95","3","3"
"B01BL4PUYY","B01BL4PUYY","SIMPLEX 565-925 - Replacement Board 4098 4 Wire Duct Sensor PCBD","S565-925","54","0.18%","79","0.19%","77%","17","6","31.48%","11.11%","$1,188.54","$369.90","7","3"
"B01EZ8VEY8","B01EZ8VEY8","SIMPLEX 2099-9804 Break Rod for Pull Station","S2099-9804","189","0.65%","260","0.62%","84%","48","11","25.40%","5.82%","$483.04","$106.28","10","3"
"B01EZ8VKEW","B01EZ8VKEW","SIMPLEX 4098-9402 - Combination ROR/Thermal Detector","S4098-9402","30","0.10%","46","0.11%","91%","10","3","33.33%","10.00%","$720.72","$209.69","6","3"
